locationdesc,category,response,age,gender,raceethnicity,data_value(%),low_confidence_limit,high_confidence_limit,numerator,sample_size,locationid,longitude,latitude
Puerto Rico,Infectious and Inflammatory Diseases,Lacrimal and orbit inflammation,0-17 years,All genders,Other,0.01,0.0,0.26,90.0,15100.0,72,-66.590149,18.220833
New Mexico,Other Retinal Disorders,Central retinal arterial occlusion,40-64 years,Male,All races,0.01,0.01,0.02,80.0,70900.0,35,-106.2405809849,34.520880952
Wisconsin,Diabetic Eye Diseases,Non-vision threatening stage,65-84 years,Male,"Hispanic, any race",0.04,0.02,0.33,70.0,13100.0,55,-89.81637074199,44.393191174
Ohio,Orbital and External Disease,Eyelid disorders,0-17 years,Male,"Black, non-Hispanic",0.35,0.33,0.38,640.0,179700.0,39,-82.40426005599,40.060210141
Kentucky,Infectious and Inflammatory Diseases,Endophthalmitis,18 years and older,Female,"Hispanic, any race",0.0,0.0,0.03,90.0,10800.0,21,-84.77497104799,37.645970271
California,Orbital and External Disease,Other/unspecified orbital and external disease,0-17 years,Male,All races,0.03,0.03,0.03,650.0,2307400.0,6,-120.9999995379,37.638640123
Illinois,Age Related Macular Degeneration,Geographic atrophy,65-84 years,Male,Asian,0.12,0.07,0.38,120.0,22700.0,17,-88.99771017799,40.485010283
New Jersey,Infectious and Inflammatory Diseases,Keratitis,40 years and older,All genders,"Hispanic, any race",0.85,0.79,0.92,680.0,80500.0,34,-74.27369128799,40.130570048
New York,Retinal Detachment and Defects,Retinal detachment and defects,All ages,Female,"Black, non-Hispanic",0.18,0.17,0.19,890.0,506400.0,36,-75.54397042699,42.827001032
Illinois,Other Retinal Disorders,All Other retinal disorders,65-84 years,Male,Other,0.12,0.07,0.38,120.0,22700.0,17,-88.99771017799,40.485010283
New York,Age Related Macular Degeneration,Geographic atrophy,0-17 years,Female,Other,0.0,0.0,0.17,240.0,2200.0,36,-75.54397042699,42.827001032
Ohio,Other Retinal Disorders,Hereditary chorioretinal dystrophy,18-39 years,Male,Unknown,0.03,0.01,0.06,130.0,23600.0,39,-82.40426005599,40.060210141
North Carolina,Infectious and Inflammatory Diseases,Infectious diseases,All ages,All genders,Unknown,0.08,0.04,0.16,70.0,9700.0,37,-79.15925046299,35.466220975
Arizona,Other Retinal Disorders,Macular edema (Cystoid or non-diabetic),40-64 years,All genders,North American Native,0.03,0.01,0.05,90.0,35000.0,4,-111.7638112769,34.86597028
Delaware,Age Related Macular Degeneration,Dry-form age-related macular degeneration,18 years and older,All genders,North American Native,0.0,0.0,1.13,60.0,330.0,10,-75.57774116799,39.008830667
Georgia,"Injury, Burns and Surgical Complications of the Eye",Ocular injury,All ages,Female,"White, non-Hispanic",0.55,0.53,0.57,2400.0,437200.0,13,-83.62758034599,32.839681093
New Jersey,Cornea Disorders,Other corneal disorders,0-17 years,Female,North American Native,0.0,0.0,0.29,120.0,1300.0,34,-74.27369128799,40.130570048
Montana,"Injury, Burns and Surgical Complications of the Eye",Ocular burns,85 years and older,All genders,"White, non-Hispanic",0.02,0.01,0.62,60.0,3700.0,30,-109.4244206449,47.066528972
Illinois,Cornea Disorders,Keratoconus,All ages,Female,Unknown,0.03,0.02,0.05,20.0,57600.0,17,-88.99771017799,40.485010283
Puerto Rico,Other Retinal Disorders,Central retinal vein occlusion,All ages,Female,"Hispanic, any race",0.0,0.0,0.01,20.0,447900.0,72,-66.590149,18.220833
Arizona,Other Retinal Disorders,All Other retinal disorders,85 years and older,Female,North American Native,0.1,0.06,0.34,90.0,13400.0,4,-111.7638112769,34.86597028
Nebraska,Orbital and External Disease,Dry eye syndrome,85 years and older,All genders,Unknown,0.0,0.0,11.57,30.0,30.0,31,-99.36572062299,41.641040988
South Carolina,Other Visual Disturbances,Night blindness,All ages,All genders,Other,0.0,0.0,0.69,90.0,540.0,45,-81.04537120699,33.998821303
Oregon,"Injury, Burns and Surgical Complications of the Eye",Ocular burns,0-17 years,Male,Unknown,0.02,0.01,0.03,70.0,47100.0,41,-120.1550313259,44.567449424
Illinois,Disorders of Optic Nerve and Visual Pathways,All Disorders of optic nerve and visual pathways,18-39 years,Female,Asian,0.2,0.14,0.29,30.0,14700.0,17,-88.99771017799,40.485010283
Wisconsin,Disorders of Optic Nerve and Visual Pathways,All Disorders of optic nerve and visual pathways,65 years and older,Male,"Black, non-Hispanic",0.0,0.0,3.42,70.0,110.0,55,-89.81637074199,44.393191174
Oregon,Diabetic Eye Diseases,Proliferative diabetic retinopathy,40 years and older,Female,"Hispanic, any race",0.24,0.19,0.29,100.0,41700.0,41,-120.1550313259,44.567449424
North Carolina,Other Visual Disturbances,Color blindness,All ages,Female,Asian,0.06,0.03,0.33,70.0,8700.0,37,-79.15925046299,35.466220975
Maine,Diabetic Eye Diseases,Non-vision threatening stage,18 years and older,All genders,"Black, non-Hispanic",0.67,0.45,0.96,30.0,4400.0,23,-68.98503133599,45.254228894
Georgia,Infectious and Inflammatory Diseases,Lacrimal and orbit inflammation,18-39 years,Male,Unknown,0.03,0.01,0.07,90.0,21400.0,13,-83.62758034599,32.839681093
Mississippi,Infectious and Inflammatory Diseases,Infectious diseases,0-17 years,All genders,"White, non-Hispanic",0.18,0.16,0.21,230.0,126500.0,28,-89.53803082499,32.745510099
South Carolina,Diabetic Eye Diseases,Other diabetes related eye disorders,0-17 years,All genders,"White, non-Hispanic",0.0,0.0,0.01,90.0,154500.0,45,-81.04537120699,33.998821303
Illinois,Other Retinal Disorders,Occlusive retinal vascular disease,65-84 years,Male,"Hispanic, any race",0.0,0.0,0.25,120.0,1500.0,17,-88.99771017799,40.485010283
Wisconsin,Age Related Macular Degeneration,Geographic atrophy,65 years and older,Female,"Black, non-Hispanic",0.0,0.0,2.37,70.0,150.0,55,-89.81637074199,44.393191174
Illinois,Other Visual Disturbances,Other/unspecified visual disturbances,40-64 years,Female,"White, non-Hispanic",1.5,1.44,1.57,2000.0,134000.0,17,-88.99771017799,40.485010283
Georgia,Diabetic Eye Diseases,Non-vision threatening stage,0-17 years,All genders,Other,0.0,0.0,0.32,90.0,1200.0,13,-83.62758034599,32.839681093
Virginia,Diabetic Eye Diseases,Non-vision threatening stage,40 years and older,Female,North American Native,0.48,0.13,1.22,70.0,840.0,51,-78.45789046299,37.542680674
Nevada,Cornea Disorders,Cornea disorder related to contact lens,18 years and older,All genders,Asian,0.02,0.0,0.05,70.0,17300.0,32,-117.0718405639,39.49324039
South Dakota,Glaucoma,Other/unspecified glaucoma,65-84 years,Female,"White, non-Hispanic",0.0,0.0,0.61,40.0,1750.0,46,-100.3735306369,44.353130053
Delaware,Orbital and External Disease,Other/unspecified orbital and external disease,All ages,Male,All races,0.04,0.03,0.05,40.0,110200.0,10,-75.57774116799,39.008830667
Delaware,Infectious and Inflammatory Diseases,Infectious diseases,40 years and older,All genders,Unknown,0.02,0.01,0.89,60.0,3400.0,10,-75.57774116799,39.008830667
Illinois,Other Retinal Disorders,Hereditary chorioretinal dystrophy,18 years and older,Female,Unknown,0.08,0.05,0.12,20.0,27700.0,17,-88.99771017799,40.485010283
Minnesota,Orbital and External Disease,All Orbital and external disease,0-17 years,Male,"Black, non-Hispanic",0.73,0.66,0.8,420.0,57800.0,27,-94.79420050299,46.355648736
Mississippi,Age Related Macular Degeneration,Non-vision threatening stage,65-84 years,All genders,"Hispanic, any race",0.01,0.0,0.64,90.0,3400.0,28,-89.53803082499,32.745510099
Kentucky,Orbital and External Disease,Congenital anomalies,65 years and older,Female,Unknown,0.0,0.0,0.83,90.0,440.0,21,-84.77497104799,37.645970271
Virginia,Age Related Macular Degeneration,Wet-form age-related macular degeneration,18 years and older,Female,North American Native,0.0,0.0,0.15,70.0,2500.0,51,-78.45789046299,37.542680674
North Carolina,Age Related Macular Degeneration,Early stage age-related macular degeneration,40 years and older,Female,Other,0.13,0.04,0.33,70.0,3100.0,37,-79.15925046299,35.466220975
Nebraska,"Injury, Burns and Surgical Complications of the Eye",Surgical complication of the eye,85 years and older,All genders,"Hispanic, any race",0.0,0.0,5.78,30.0,60.0,31,-99.36572062299,41.641040988
California,Other Retinal Disorders,Other/unspecified other retinal disorders,85 years and older,Male,"Hispanic, any race",1.54,1.09,2.11,40.0,2400.0,6,-120.9999995379,37.638640123
Missouri,Cornea Disorders,All Cornea disorders,65-84 years,All genders,"Hispanic, any race",1.39,0.38,3.52,60.0,290.0,29,-92.56630005299,38.635790776
Pennsylvania,"Injury, Burns and Surgical Complications of the Eye",Ocular injury,0-17 years,Female,North American Native,0.64,0.28,1.27,160.0,1200.0,42,-77.86070029399,40.793730152
Louisiana,Orbital and External Disease,Other/unspecified orbital and external disease,65-84 years,Female,"Hispanic, any race",0.0,0.0,2.6,130.0,140.0,22,-92.44568007099,31.312660644
California,Cancer and Neoplasms of the Eye,Benign neoplasm,0-17 years,Male,"White, non-Hispanic",0.03,0.03,0.04,110.0,329400.0,6,-120.9999995379,37.638640123
New Jersey,Cornea Disorders,Cornea disorder related to contact lens,65 years and older,Female,Unknown,0.0,0.0,0.14,120.0,2700.0,34,-74.27369128799,40.130570048
Iowa,Retinal Detachment and Defects,Retinal detachment and defects,0-17 years,Male,"White, non-Hispanic",0.03,0.02,0.05,20.0,67200.0,19,-93.81649055599,42.469400913
Tennessee,Cornea Disorders,Other corneal disorders,85 years and older,Male,Unknown,0.0,0.0,5.4399999999,150.0,70.0,47,-85.77449091399,35.68094058
New Hampshire,Cornea Disorders,Corneal transplant,0-17 years,Female,"White, non-Hispanic",0.0,0.0,0.01,40.0,32600.0,33,-71.50036091999,43.655950113
Iowa,"Injury, Burns and Surgical Complications of the Eye",Surgical complication of the eye,85 years and older,All genders,All races,0.07,0.03,0.28,70.0,11900.0,19,-93.81649055599,42.469400913
Kentucky,Glaucoma,Other/unspecified glaucoma,18 years and older,All genders,"White, non-Hispanic",0.05,0.04,0.05,250.0,557400.0,21,-84.77497104799,37.645970271
Oklahoma,Orbital and External Disease,Eyelid disorders,40 years and older,Male,All races,0.38,0.31,0.46,110.0,27600.0,40,-97.52107021399,35.472031356
Texas,Glaucoma,Secondary glaucoma,65 years and older,All genders,"Black, non-Hispanic",0.0,0.0,0.98,120.0,370.0,48,-99.42677020599,31.827240407
Virginia,Other Visual Disturbances,All Other visual disturbances,18-39 years,All genders,Unknown,0.51,0.42,0.61,120.0,23900.0,51,-78.45789046299,37.542680674
Hawaii,Other Retinal Disorders,Retinopathy of prematurity,0-17 years,Male,"Hispanic, any race",0.0,0.0,0.11,60.0,3200.0,15,-157.8577494029,21.304850435
Arkansas,Infectious and Inflammatory Diseases,Lacrimal and orbit inflammation,18 years and older,Male,"White, non-Hispanic",0.02,0.01,0.03,20.0,98500.0,5,-92.27449074299,34.748650124
Pennsylvania,Other Eye Disorders,Other eye disorders,18 years and older,Male,"Black, non-Hispanic",0.92,0.88,0.97,1600.0,176100.0,42,-77.86070029399,40.793730152
New Mexico,Orbital and External Disease,Disorders of the globe,All ages,All genders,"White, non-Hispanic",0.02,0.01,0.02,30.0,194600.0,35,-106.2405809849,34.520880952
Delaware,Cornea Disorders,Cornea disorder related to contact lens,0-17 years,Female,All races,0.02,0.01,0.89,60.0,3400.0,10,-75.57774116799,39.008830667
Idaho,Infectious and Inflammatory Diseases,All Infectious and inflammatory diseases,85 years and older,All genders,"White, non-Hispanic",5.83,2.38,11.65,60.0,120.0,16,-114.3637300419,43.682630005
Wisconsin,Other Retinal Disorders,Myopic degeneration,85 years and older,Female,All races,0.0,0.0,2.03,70.0,180.0,55,-89.81637074199,44.393191174
Michigan,Cancer and Neoplasms of the Eye,Malignant neoplasm,18 years and older,Male,Unknown,0.02,0.01,0.03,110.0,60000.0,26,-84.71439026999,44.661319543
New Jersey,Orbital and External Disease,All Orbital and external disease,40 years and older,Male,All races,2.46,2.38,2.53,4000.0,161300.0,34,-74.27369128799,40.130570048
Texas,Glaucoma,Suspect or unclassified glaucoma,0-17 years,Female,"White, non-Hispanic",0.22,0.2,0.24,590.0,264900.0,48,-99.42677020599,31.827240407
Kentucky,Age Related Macular Degeneration,Vision threatening stage,18 years and older,All genders,"White, non-Hispanic",0.02,0.02,0.02,110.0,557400.0,21,-84.77497104799,37.645970271
New Hampshire,Diabetic Eye Diseases,Non-proliferative,0-17 years,Male,Unknown,0.0,0.0,0.05,40.0,6900.0,33,-71.50036091999,43.655950113
New York,Other Retinal Disorders,Myopic degeneration,40 years and older,Female,North American Native,0.14,0.05,0.29,240.0,4400.0,36,-75.54397042699,42.827001032
Mississippi,Cornea Disorders,Endothelial dystrophy (Fuchs),40 years and older,All genders,All races,0.06,0.04,0.09,30.0,51200.0,28,-89.53803082499,32.745510099
Florida,Glaucoma,Glaucoma suspect,40 years and older,Female,Asian,1.5,1.12,1.97,50.0,3300.0,12,-81.92896053899,28.932040377
Mississippi,Cancer and Neoplasms of the Eye,Benign neoplasm,18-39 years,Female,"White, non-Hispanic",0.22,0.17,0.27,70.0,33400.0,28,-89.53803082499,32.745510099
Ohio,Orbital and External Disease,Lacrimal diseases,18-39 years,Female,All races,0.1,0.09,0.1,540.0,560000.0,39,-82.40426005599,40.060210141
Louisiana,Diabetic Eye Diseases,Severe non-proliferative,65 years and older,Male,North American Native,0.07,0.05,0.31,130.0,55200.0,22,-92.44568007099,31.312660644
Mississippi,Cornea Disorders,All Cornea disorders,40-64 years,All genders,All races,0.49,0.43,0.55,250.0,50900.0,28,-89.53803082499,32.745510099
New Jersey,Other Visual Disturbances,All Other visual disturbances,18-39 years,All genders,North American Native,0.79,0.39,1.41,10.0,1400.0,34,-74.27369128799,40.130570048
Idaho,Infectious and Inflammatory Diseases,Other/unspecified infectious and inflammatory diseases,40-64 years,All genders,North American Native,0.58,0.12,1.67,60.0,520.0,16,-114.3637300419,43.682630005
Indiana,Cancer and Neoplasms of the Eye,Benign neoplasm,65 years and older,Female,"Hispanic, any race",0.8,0.22,2.03,70.0,500.0,18,-86.14996019399,39.766910452
Hawaii,Orbital and External Disease,All Orbital and external disease,40 years and older,Male,All races,1.63,1.51,1.76,650.0,39800.0,15,-157.8577494029,21.304850435
South Carolina,Other Retinal Disorders,Myopic degeneration,65-84 years,Female,"White, non-Hispanic",0.0,0.0,2.46,90.0,150.0,45,-81.04537120699,33.998821303
Montana,Age Related Macular Degeneration,Dry-form age-related macular degeneration,18 years and older,Male,"Black, non-Hispanic",0.0,0.0,0.45,60.0,820.0,30,-109.4244206449,47.066528972
New Jersey,Orbital and External Disease,Other/unspecified orbital and external disease,18 years and older,All genders,All races,0.07,0.06,0.07,630.0,956200.0,34,-74.27369128799,40.130570048
Colorado,Diabetic Eye Diseases,Vision threatening stage,0-17 years,All genders,"Hispanic, any race",0.08,0.04,0.34,80.0,11200.0,8,-106.1336109209,38.843840757
Minnesota,Other Retinal Disorders,Myopic degeneration,All ages,All genders,"Hispanic, any race",0.03,0.02,0.04,20.0,83000.0,27,-94.79420050299,46.355648736
Delaware,Diabetic Eye Diseases,Diabetic macular edema,0-17 years,Female,"Black, non-Hispanic",0.0,0.0,0.02,60.0,20900.0,10,-75.57774116799,39.008830667
Washington,Age Related Macular Degeneration,Choroidal neovascularization,All ages,Female,"Black, non-Hispanic",0.0,0.0,0.01,90.0,67600.0,53,-120.4700107899,47.522278629
New Jersey,Other Eye Disorders,Other eye disorders,18-39 years,Female,Asian,1.4,1.21,1.61,190.0,13800.0,34,-74.27369128799,40.130570048
South Carolina,"Injury, Burns and Surgical Complications of the Eye","All Injury, burns and surgical complications of the eye",85 years and older,All genders,"Hispanic, any race",0.01,0.0,0.48,90.0,5600.0,45,-81.04537120699,33.998821303
New Hampshire,Orbital and External Disease,Lacrimal diseases,65 years and older,Male,Unknown,0.0,0.0,4.11,40.0,90.0,33,-71.50036091999,43.655950113
National,Diabetic Eye Diseases,Other diabetes related eye disorders,65 years and older,All genders,Asian,0.78,0.73,0.84,810.0,104100.0,59,-93.23609634939444,40.43953357133333
Wyoming,Glaucoma,Primary angle-closure glaucoma,40 years and older,Female,Unknown,0.0,0.0,1.92,20.0,210.0,56,-108.1098303529,43.235541343
New Jersey,Glaucoma,All Glaucoma,65-84 years,Female,"White, non-Hispanic",8.3099999999,7.0699999999,9.6799999999,150.0,1800.0,34,-74.27369128799,40.130570048
Indiana,Cornea Disorders,Cornea disorder related to contact lens,40-64 years,Female,Other,0.0,0.0,0.12,70.0,3000.0,18,-86.14996019399,39.766910452
Maryland,Other Visual Disturbances,Visual field defect,40 years and older,All genders,"Hispanic, any race",0.13,0.08,0.19,20.0,19200.0,24,-76.60926011099,39.290580964
New York,Glaucoma,Glaucoma suspect,40-64 years,Female,Asian,7.68,7.52,7.85,8000.0,104200.0,36,-75.54397042699,42.827001032
Montana,"Injury, Burns and Surgical Complications of the Eye","All Injury, burns and surgical complications of the eye",0-17 years,Female,North American Native,0.87,0.7,1.07,90.0,10200.0,30,-109.4244206449,47.066528972
Mississippi,Diabetic Eye Diseases,Non-vision threatening stage,65 years and older,All genders,Unknown,0.0,0.0,8.0399999999,90.0,40.0,28,-89.53803082499,32.745510099
Georgia,"Injury, Burns and Surgical Complications of the Eye",Surgical complication of the eye,18-39 years,Male,"White, non-Hispanic",0.01,0.0,0.03,90.0,36000.0,13,-83.62758034599,32.839681093
New York,Age Related Macular Degeneration,Advanced GA or Inactive CNV,40-64 years,Female,North American Native,0.0,0.0,0.11,240.0,3500.0,36,-75.54397042699,42.827001032
Pennsylvania,Orbital and External Disease,Dry eye syndrome,40 years and older,Male,"Black, non-Hispanic",0.85,0.78,0.92,590.0,69200.0,42,-77.86070029399,40.793730152
Maine,Glaucoma,All Glaucoma,18 years and older,Male,Other,0.01,0.0,0.72,50.0,1400.0,23,-68.98503133599,45.254228894
California,Infectious and Inflammatory Diseases,Endophthalmitis,0-17 years,Male,Asian,0.0,0.0,0.01,250.0,160100.0,6,-120.9999995379,37.638640123
Oklahoma,Age Related Macular Degeneration,Unspecified-age related macular degeneration,0-17 years,Female,Asian,0.0,0.0,0.07,60.0,5000.0,40,-97.52107021399,35.472031356
Arkansas,Orbital and External Disease,All Orbital and external disease,18 years and older,All genders,Unknown,0.51,0.47,0.56,590.0,115800.0,5,-92.27449074299,34.748650124
Wyoming,Cancer and Neoplasms of the Eye,All Cancer and neoplasms of the eye diseases,65 years and older,All genders,"White, non-Hispanic",0.0,0.0,1.92,20.0,210.0,56,-108.1098303529,43.235541343
New York,Cornea Disorders,All Cornea disorders,40 years and older,Male,"Hispanic, any race",1.39,1.29,1.5,730.0,52800.0,36,-75.54397042699,42.827001032
Delaware,"Injury, Burns and Surgical Complications of the Eye",Ocular burns,65 years and older,Male,Other,0.02,0.01,0.89,60.0,3400.0,10,-75.57774116799,39.008830667
Massachusetts,Orbital and External Disease,Lacrimal diseases,40 years and older,Male,"Black, non-Hispanic",0.12,0.07,0.19,20.0,13700.0,25,-72.08269067499,42.27687047
Indiana,Infectious and Inflammatory Diseases,Conjunctivitis,0-17 years,Male,"White, non-Hispanic",2.42,2.35,2.49,4800.0,199800.0,18,-86.14996019399,39.766910452
Iowa,Age Related Macular Degeneration,Non-vision threatening stage,18 years and older,All genders,"Hispanic, any race",0.1,0.07,0.14,30.0,30100.0,19,-93.81649055599,42.469400913
Oregon,Age Related Macular Degeneration,Advanced GA or Inactive CNV,18-39 years,All genders,All races,0.08,0.04,0.33,70.0,7000.0,41,-120.1550313259,44.567449424
North Carolina,Age Related Macular Degeneration,Non-vision threatening stage,All ages,Male,North American Native,0.06,0.03,0.33,70.0,8700.0,37,-79.15925046299,35.466220975
Illinois,Orbital and External Disease,Eyelid disorders,40 years and older,Female,"Hispanic, any race",0.86,0.78,0.96,340.0,39700.0,17,-88.99771017799,40.485010283
Nebraska,Orbital and External Disease,Disorders of the globe,0-17 years,Female,All races,0.0,0.0,0.01,30.0,85100.0,31,-99.36572062299,41.641040988
Nevada,Age Related Macular Degeneration,Choroidal neovascularization,0-17 years,All genders,"White, non-Hispanic",0.0,0.0,0.0,70.0,78100.0,32,-117.0718405639,39.49324039
West Virginia,Glaucoma,Primary angle-closure glaucoma,18-39 years,All genders,North American Native,0.0,0.0,5.28,60.0,70.0,54,-80.71264013499,38.665510202
Ohio,Disorders of Optic Nerve and Visual Pathways,All Disorders of optic nerve and visual pathways,65 years and older,Male,"Hispanic, any race",0.14,0.09,0.35,130.0,21500.0,39,-82.40426005599,40.060210141
Oklahoma,Age Related Macular Degeneration,Wet-form age-related macular degeneration,18 years and older,Female,Unknown,0.0,0.0,0.05,60.0,8100.0,40,-97.52107021399,35.472031356
Maryland,Other Retinal Disorders,All Other retinal disorders,18 years and older,All genders,North American Native,0.55,0.33,0.86,20.0,3500.0,24,-76.60926011099,39.290580964
Minnesota,Glaucoma,Suspect or unclassified glaucoma,18-39 years,Male,"Hispanic, any race",0.4,0.28,0.56,30.0,8500.0,27,-94.79420050299,46.355648736
Ohio,Other Retinal Disorders,Occlusive retinal vascular disease,18-39 years,Female,"Hispanic, any race",0.14,0.09,0.35,130.0,21500.0,39,-82.40426005599,40.060210141
New Hampshire,Retinal Detachment and Defects,Retinal detachment and defects,All ages,Male,"White, non-Hispanic",0.06,0.05,0.08,40.0,71200.0,33,-71.50036091999,43.655950113
Arizona,Diabetic Eye Diseases,All Diabetic eye diseases,40-64 years,Male,"Black, non-Hispanic",1.3,1.1,1.51,160.0,12400.0,4,-111.7638112769,34.86597028
Maryland,Other Eye Disorders,Other eye disorders,18-39 years,Female,North American Native,0.49,0.2,1.01,120.0,1400.0,24,-76.60926011099,39.290580964
Delaware,Other Visual Disturbances,Night blindness,0-17 years,Male,North American Native,0.0,0.0,4.51,60.0,80.0,10,-75.57774116799,39.008830667
Delaware,Other Eye Disorders,Other eye disorders,All ages,Male,"White, non-Hispanic",0.95,0.86,1.04,440.0,46500.0,10,-75.57774116799,39.008830667
South Carolina,Diabetic Eye Diseases,Diabetic macular edema,All ages,All genders,North American Native,0.01,0.0,0.48,90.0,5600.0,45,-81.04537120699,33.998821303
Virginia,Age Related Macular Degeneration,Early stage age-related macular degeneration,0-17 years,Male,All races,0.0,0.0,0.0,70.0,353000.0,51,-78.45789046299,37.542680674
Michigan,Other Visual Disturbances,Visual field defect,0-17 years,Male,Other,0.0,0.0,0.93,110.0,390.0,26,-84.71439026999,44.661319543
North Carolina,Diabetic Eye Diseases,Other diabetes related eye disorders,65 years and older,All genders,"Hispanic, any race",2.17,0.8,4.65,70.0,280.0,37,-79.15925046299,35.466220975
Delaware,Cornea Disorders,Keratoconus,40 years and older,Female,Asian,0.0,0.0,0.43,60.0,870.0,10,-75.57774116799,39.008830667
Oklahoma,Diabetic Eye Diseases,Proliferative diabetic retinopathy,40 years and older,All genders,Asian,0.54,0.26,0.99,60.0,1800.0,40,-97.52107021399,35.472031356
Connecticut,Infectious and Inflammatory Diseases,Lacrimal and orbit inflammation,40 years and older,Male,Unknown,0.03,0.02,0.05,10.0,40900.0,9,-72.64984095199,41.56266102
California,Other Retinal Disorders,Non-Occlusive retinal vascular disease,85 years and older,Female,Unknown,1.18,0.43,2.55,250.0,510.0,6,-120.9999995379,37.638640123
Georgia,Disorders of Optic Nerve and Visual Pathways,Optic nerve disorders,65-84 years,Female,Other,0.03,0.02,0.47,90.0,7000.0,13,-83.62758034599,32.839681093
New Mexico,Cancer and Neoplasms of the Eye,Malignant neoplasm,18-39 years,All genders,"Black, non-Hispanic",0.07,0.04,0.29,80.0,11900.0,35,-106.2405809849,34.520880952
Indiana,Other Visual Disturbances,All Other visual disturbances,18-39 years,Female,"White, non-Hispanic",0.44,0.41,0.47,780.0,176400.0,18,-86.14996019399,39.766910452
Oklahoma,Cornea Disorders,Corneal transplant,40 years and older,All genders,"Hispanic, any race",0.0,0.0,0.07,60.0,5000.0,40,-97.52107021399,35.472031356
Illinois,Other Retinal Disorders,Occlusive retinal vascular disease,40-64 years,Male,Unknown,0.02,0.0,0.07,120.0,13300.0,17,-88.99771017799,40.485010283
Washington,Other Retinal Disorders,Hereditary chorioretinal dystrophy,65-84 years,Female,North American Native,0.07,0.04,0.25,90.0,23200.0,53,-120.4700107899,47.522278629
Michigan,Other Eye Disorders,Other eye disorders,40-64 years,Male,"Hispanic, any race",1.8,1.52,2.12,150.0,8100.0,26,-84.71439026999,44.661319543
South Carolina,Other Retinal Disorders,Central retinal arterial occlusion,18 years and older,Male,North American Native,0.0,0.0,1.0,90.0,370.0,45,-81.04537120699,33.998821303
Nevada,Age Related Macular Degeneration,Advanced GA or Inactive CNV,18-39 years,Male,North American Native,0.0,0.0,0.23,70.0,1600.0,32,-117.0718405639,39.49324039
Connecticut,Infectious and Inflammatory Diseases,Endophthalmitis,65 years and older,All genders,Asian,0.17,0.1,0.6,100.0,8800.0,9,-72.64984095199,41.56266102
Montana,Cornea Disorders,Cornea disorder related to contact lens,All ages,All genders,Other,0.0,0.0,0.21,60.0,1800.0,30,-109.4244206449,47.066528972
South Carolina,Diabetic Eye Diseases,All Diabetic eye diseases,65-84 years,All genders,Other,0.01,0.0,0.48,90.0,5600.0,45,-81.04537120699,33.998821303
Maryland,Diabetic Eye Diseases,Vision threatening stage,65-84 years,All genders,Asian,1.67,0.46,4.23,120.0,240.0,24,-76.60926011099,39.290580964
Pennsylvania,Diabetic Eye Diseases,Diabetic macular edema,All ages,Male,All races,0.15,0.15,0.16,2100.0,1354400.0,42,-77.86070029399,40.793730152
Texas,Other Visual Disturbances,Color blindness,40 years and older,Female,"Hispanic, any race",0.01,0.0,0.02,120.0,50700.0,48,-99.42677020599,31.827240407
Maryland,Infectious and Inflammatory Diseases,Eyelid infection and inflammation,18-39 years,Male,Other,0.95,0.2,2.75,120.0,320.0,24,-76.60926011099,39.290580964
National,Glaucoma,Open-angle glaucoma,0-17 years,Female,North American Native,0.0,0.0,0.01,890.0,200100.0,59,-93.23609634939444,40.43953357133333
Louisiana,Age Related Macular Degeneration,Choroidal neovascularization,18-39 years,Male,Other,0.07,0.05,0.31,130.0,55200.0,22,-92.44568007099,31.312660644
Michigan,Other Retinal Disorders,Branch retinal artery occlusion,40 years and older,Female,Unknown,0.02,0.0,0.04,110.0,24300.0,26,-84.71439026999,44.661319543
Missouri,Diabetic Eye Diseases,Proliferative diabetic retinopathy,65-84 years,All genders,"Hispanic, any race",0.04,0.02,0.59,60.0,3900.0,29,-92.56630005299,38.635790776
Georgia,Glaucoma,Open-angle glaucoma,0-17 years,Female,Asian,0.02,0.0,0.06,90.0,15400.0,13,-83.62758034599,32.839681093
Louisiana,Cornea Disorders,Other corneal disorders,40-64 years,All genders,"Hispanic, any race",0.14,0.08,0.22,20.0,12400.0,22,-92.44568007099,31.312660644
Idaho,Cancer and Neoplasms of the Eye,Benign neoplasm,0-17 years,Male,"Hispanic, any race",0.02,0.01,0.87,60.0,1600.0,16,-114.3637300419,43.682630005
Virginia,Cancer and Neoplasms of the Eye,Benign neoplasm,18-39 years,Male,Other,0.0,0.0,0.58,70.0,640.0,51,-78.45789046299,37.542680674
Puerto Rico,Other Visual Disturbances,Color blindness,40-64 years,All genders,Other,0.01,0.0,0.26,90.0,15100.0,72,-66.590149,18.220833
Oklahoma,"Injury, Burns and Surgical Complications of the Eye",Ocular burns,All ages,All genders,"Black, non-Hispanic",0.02,0.02,0.04,30.0,104000.0,40,-97.52107021399,35.472031356
New York,Other Visual Disturbances,Color blindness,40 years and older,All genders,North American Native,0.22,0.16,0.43,240.0,86100.0,36,-75.54397042699,42.827001032
National,Other Eye Disorders,Other eye disorders,0-17 years,All genders,"Hispanic, any race",0.72,0.72,0.73,64600.0,8923400.0,59,-93.23609634939444,40.43953357133333
Montana,Orbital and External Disease,Disorders of the globe,All ages,Female,"Black, non-Hispanic",0.0,0.0,0.39,60.0,950.0,30,-109.4244206449,47.066528972
